Date	Open	High	Low	Close	Adj	Volume
1962-01-02	7.713333	7.713333	7.626667	7.626667	0.689273	387200
1962-01-03	7.626667	7.693333	7.626667	7.693333	0.695299	288000
1962-01-04	7.693333	7.693333	7.613333	7.616667	0.68837	256000
1962-01-05	7.606667	7.606667	7.453333	7.466667	0.674813	363200
1962-01-08	7.46	7.46	7.266667	7.326667	0.66216	544000
1962-01-09	7.36	7.506667	7.36	7.413333	0.669993	491200
1962-01-10	7.426667	7.46	7.426667	7.426667	0.671198	299200
1962-01-11	7.446667	7.506667	7.446667	7.506667	0.678428	315200
1962-01-12	7.52	7.573333	7.52	7.52	0.679633	435200
1962-01-15	7.546667	7.57	7.546667	7.553333	0.682646	251200
1962-01-16	7.546667	7.546667	7.473333	7.473333	0.675416	251200
1962-01-17	7.44	7.44	7.333333	7.353333	0.66457	419200
1962-01-18	7.373333	7.446667	7.373333	7.373333	0.666377	371200
1962-01-19	7.373333	7.393333	7.293334	7.38	0.66698	400000
1962-01-22	7.38	7.453333	7.36	7.366667	0.665775	275200
1962-01-23	7.363333	7.373333	7.28	7.293334	0.659148	371200
1962-01-24	7.293334	7.333333	7.256667	7.333333	0.662763	408000
1962-01-25	7.333333	7.393333	7.24	7.253334	0.655532	315200
1962-01-26	7.253334	7.28	7.213333	7.216667	0.652219	243200
1962-01-29	7.216667	7.266667	7.093333	7.093333	0.641072	579200
1962-01-30	7.093333	7.133333	7.003334	7.003334	0.632939	736000
1962-01-31	7.073333	7.226666	7.073333	7.226666	0.653122	760000
1962-02-01	7.3	7.413333	7.3	7.393333	0.668186	640000
1962-02-02	7.393333	7.44	7.36	7.44	0.672403	507200
1962-02-05	7.44	7.44	7.306667	7.346667	0.663968	312000
1962-02-06	7.346667	7.36	7.32	7.353333	0.66466	256000
1962-02-07	7.36	7.4	7.36	7.36	0.665263	251200
1962-02-08	7.36	7.4	7.36	7.366667	0.665866	16000
1962-02-09	7.366667	7.42	7.333333	7.42	0.670687	432000
1962-02-12	7.42	7.48	7.413333	7.426667	0.671289	280000
1962-02-13	7.426667	7.433333	7.306667	7.306667	0.660442	256000
1962-02-14	7.306667	7.333333	7.28	7.293334	0.659238	208000
1962-02-15	7.293334	7.293334	7.26	7.266667	0.656827	227200
1962-02-16	7.266667	7.293334	7.26	7.26	0.656224	219200
1962-02-19	7.26	7.293334	7.173333	7.186666	0.649596	280000
1962-02-20	7.19	7.226666	7.19	7.19	0.649897	288000
1962-02-21	7.19	7.24	7.136667	7.136667	0.645076	363200
1962-02-23	7.146667	7.173333	7.146667	7.16	0.647185	288000
1962-02-26	7.16	7.166667	7.12	7.133333	0.644775	299200
1962-02-27	7.133333	7.193333	7.093333	7.146667	0.64598	347200
1962-02-28	7.146667	7.16	7.106667	7.16	0.647185	267200
1962-03-01	7.186666	7.246666	7.186666	7.246666	0.65502	280000
1962-03-02	7.306667	7.346667	7.306667	7.306667	0.660442	243200
